question,answer
I am from the Philippines,whoareyou
introduce yourself,whoareyou
your name is,whoareyou
are you a robot?,whoareyou
Hello are you a living person?,whoareyou
Are you a robot or human,whoareyou
This crap,sendemail
hate you,sendemail
hate this,sendemail
hate these kinds of things,sendemail
hate,sendemail
don't like this,sendemail
everything horrible,sendemail
go to hell,sendemail
hateful,sendemail
don't want to talk to you,sendemail
want to talk to a human,sendemail
talk to a person,sendemail
Hi,greeting
Hey,greeting
Hello,greeting
How are you,greeting
good afternoon,greeting
good evening,greeting
good morning,greeting
good day,greeting
good night,greeting
Have a pleasant morning,greeting
Hope you have a lovely and beautiful day,goodbye
have a nice day,goodbye
see you later,goodbye
bye bye,goodbye
byebye,goodbye
goodbye,goodbye
sayonara,goodbye
paalam,goodbye
see you sometime later,goodbye
have a nice day,goodbye
talk to you soon,goodbye
how can you help me?,purpose
is your purpose?,purpose
is you can offer, purpose
can you do?,purpose
can you offer?,purpose
can I ask you,purpose
thanks,thanks
Thank you,thanks
That's useful,thanks
Thank's a lot!,thanks
Big help,thanks
requirements to apply for promotion,requirements
need to submit to apply for promotion,requirements
how to apply for promotion,requirements
what are the requirements,requirements
meaning of promotion,promotion
what is promotion,promotion
define promotion,promotion
how can i be promoted?,automatic
is promotion automatic?,automatic
do i have to apply for promotion,automatic
where to apply,automatic
who should i contact to ask about promotion,automatic
what are the criteria for promotion?,criteria
criteria,criteria
criteria allocation,criteria
criteria and weight,criteria
educational attainment,educational attainment
discuss educational attainment,educational attainment
talk more about educational attainment,educational attainment
what is educational attainment,educational attainment
teaching performance,teaching performance
discuss teaching performance,teaching performance
talk more about teaching performance,teaching performance
what is teaching performance,teaching performance
professional development,professional development
discuss professional development,professional development
talk more about professional development,professional development
what is professional development,professional development
community involvement,community involvement
discuss community involvement,community involvement
talk more about community involvement,community involvement
what is community involvement,community involvement
faculty promotional scale,scale
discuss faculty promotional scale,scale
talk more about faculty promotional scale,scale
what is faculty promotional scale,scale
